5,iuh,jgh,NULL,ig⇥iogh,iuh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,6/21/17 4:42
"↵Florian joined ARRI in 2016 to help establish ARRI Academy in his role as Senior Trainer as well as consulting for the company's Digital Workflow Group at ARRI HQ in Munich, Germany. In his role as a technical supervisor and DIT, he is well known as an universal specialist for almost any kind of digital acquisition technology and workflow.",arri-academy,https://arri.academy/overview,https://twitter.com/ARRIChannel,https://www.facebook.com/groups/ARRIAcademy/,https://www.instagram.com/arri,https://www.youtube.com/user/ARRIChannel,https://vimeo.com/arrichannel,images/educators/210fdd31d8fcabc443bbd0a9332edf9e.jpg,1,8/1/19 2:18,10/10/19 23:54,NULL,,,,
25,Ray Roman,Filmmaker,"Ray Roman is the world's premier wedding filmmaker,  creating timeless visual stories for celebrities, musicians, royalty, professional athletes and billionaires for more than a decade and setting the standard in luxury wedding films.","Ray Roman is the world's premier wedding filmmaker,  creating timeless visual stories for celebrities, musicians, royalty, professional athletes and billionaires for more than a decade and setting the standard in luxury wedding films.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵A winner of countless International awards for his work, Ray has also been a passionate educator in the industry for over 10 years and has trained thousands of wedding videographers around the world.",ray-roman,https://www.rayromanfilms.com/,NULL,https://www.facebook.com/rayromanfilms/,https://www.instagram.com/rayromanfilms/,NULL,NULL,images/educators/df651ead9d04fe4f06cb8a305e8e16bc.jpg,1,3/25/20 3:08,3/25/20 3:08,NULL,,,,
26,Jem Schofield,"Producer, DP, Educator","Jem Schofield is a producer, DP and educator and the founder of theC47, a full-service production company that focuses on video production, filmmaking, consulting & education. He  spends most of his time producing content, educating others and otherwise being borderline obsessed with cameras, production and the craft of lighting.","Jem Schofield is a producer, DP and educator and the founder of theC47, a full-service production company that focuses on video production, filmmaking, consulting & education. He started this journey as a kid (barely double digits) with a used Pentax K-1000. It was a great start to his education in this field, and nowadays he spends most of his time producing content, educating others and otherwise being borderline obsessed with cameras, production and the craft of lighting.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵For over 20 years Jem has produced projects and provided training for an ever-expanding client base. Current and past clients include AbelCine, Apple, Inc., ARRI, Canon, Corus Entertainment, LinkedIn Learning, MAC Group, MZed, NBCUniversal, NPR, PBS, Riverbed Technologies, Scottish Enterprise, Sony, TED, The Vitec Group, Walmart Films, Westcott, YouTube and Zeiss. Jem is also an equipment design consultant to many manufacturers in the film and television industry. He designed theC47 DP Kit & theC47 Book Light Kit (geared towards corporate, in-house and small to no crew productions), which is based on FJ Westcott's Scrim Jim Cine system. ",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
↵For more information about Jem & his whereabouts visit visit his YouTube Channel at www.youtube.com/thec47 where he posts ongoing educational content focused on the tech & craft of video production and filmmaking related to Small to No Crew production.,jem-schofield,https://www.thec47.com,https://www.twitter.com/thec47,https://www.facebook.com/thec47,https://www.instagram.com/jemschofield,http://www.youtube.com/thec47,NULL,images/educators/jem_schofield.jpg,1,4/23/20 1:52,4/23/20 4:27,NULL,,,,
27,Tom Cross,Editor,"Tom Cross is an Oscar and BAFTA-winning film editor, best known for his collaborations with Director Damien Chazelle, including ""Whiplash"", ""La La Land"" and ""First Man"".","Tom Cross is an American film editor. He began his career in 1997 as an assistant editor, contributing to such diverse projects such as *We Own the Night*, *Crazy Heart* and the Primetime Emmy Award-Winning drama series *Deadwood*. Cross came to worldwide prominence in 2015 when he won the Independent Spirit Award for Best Editing, BAFTA Award for Best Editing and the Academy Award for Best Editing (among other honors) for his work on the acclaimed film *Whiplash*.  In 2016, Cross reunited with Writer/Director Damien Chazelle on the romantic musical comedy *La La Land* for which he was nominated again for an Academy Award, BAFTA Award and won The American Cinema Editor's Award.",tom-cross,NULL,NULL,NULL,NULL,NULL,NULL,images/educators/tomcross2.jpg,1,6/1/20 2:34,6/1/20 2:34,NULL
28,Rubidium Wu,"Writer, Director, Producer, DP","Rubidium is a writer, director, producer and cinematographer. He has a been working as a professional filmmaker for the last 20 years, including directing commercials for Nintendo and Sony Playstation, the documentary ""Portraits of Silence"" and two feature films, ""Brooklyn Tide"" and the upcoming ""Devil’s Fortune"".","Rubidium is a writer, director, producer and cinematographer. He has a been working as a professional filmmaker for the last 20 years, including directing commercials for Nintendo and Sony Playstation, the documentary ""Portraits of Silence"" and two feature films, ""Brooklyn Tide"" and the upcoming ""Devil’s Fortune"". His YouTube channel, the Crimson Engine  has published hundreds of videos and gained millions of views about filmmaking techniques and technologies.",rubidium-wu,https://crimsonengine.com/,https://twitter.com/crimsonengine,https://www.facebook.com/crimsonengine/,https://www.instagram.com/crimson_engine/,https://www.youtube.com/crimsonengine,NULL,images/educators/a68ee50fcc189637fbbf7208daf93c8e_optimized.jpg,1,5/26/21 0:15,5/26/21 0:25,NULL
29,MZed,Empowering Filmmakers,"Founded over 50 years ago by pioneering photographer and educator Monte Zucker, MZed strives for excellence in education for filmmakers and creative professionals.","Founded over 50 years ago by pioneering photographer and educator Monte Zucker, MZed strives for excellence in education for filmmakers and creative professionals.",mzed-empowering-filmmakers,NULL,NULL,NULL,NULL,NULL,NULL,images/educators/b359f8b877ade03393d60e73065cb240_optimized.jpg,0,7/19/21 19:33,8/12/21 18:33,NULL
30,Kitty Peters,"Filmmaker, YouTube Guru","Kitty Peters runs a filmmaking empire, Atola Visuals, which includes a leading YouTube channel, a boutique video production business, active communities on Twitch and Discord, and popular social media accounts.","Kitty Peters runs a filmmaking empire, Atola Visuals, which includes a leading YouTube channel, a boutique video production business, active communities on Twitch and Discord, and engaging social media accounts.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Kitty grew up in the Chicagoland area and obtained her degree in Cinematography from Columbia College in Chicago. In 2012, she moved to San Francisco and fell in love with the hustle, the newest tech, and the photographic scenery. The Bay Area gave her ample inspiration to paint the beauty of the world as seen through her eyes. She has shot numerous projects: from festival montages to marketing content. Kitty now resides in Los Angeles and strives to tell inspirational stories through the visual medium.",kitty-peters,https://www.atolavisuals.com/,https://twitter.com/AtolaVisuals,https://www.facebook.com/atolavisuals/,https://www.instagram.com/atolavisuals/,https://www.youtube.com/atolavisuals,NULL,images/educators/fa0379190df8b74ec8d251765b79de7e_optimized.jpg,1,8/18/21 21:29,8/19/21 22:13,NULL,,,,
31,Graham Ehlers Sheldon,"Producer, DP, Sales Agent","Emmy® award winner Graham Sheldon resides in southern California USA where he works as a producer, director of photography, and sales agent for indie films.","Emmy® award winner Graham Sheldon resides in southern California USA where he works as a producer, director of photography, and sales agent for indie films. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Throughout his career, Sheldon has produced and shot scripted, topical, and historical documentary projects in over two dozen countries and across the United States--including Alaska and the Hawaiian Islands.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Highlights of Graham's documentary work include -- NBC's The Island with Bear Grylls,  Sinking Nation, Echoes from Chernobyl, Cuba: An Island Apart, Inheritance (PBS), The Agency: Inside the CIA, and his Emmy® award winning expose on migration:  Crossing Borders.  ",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵He attended Indiana University and double-majored in Telecommunications and Theatre. A member of ICG Local 600, the Producers Guild of America and ACS, Graham is also a writer for the filmmaking website Cinema5d, a licensed FAA drone pilot, a Rosco Ambassador,  and a Sigma Cine Pro. ",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Feature Films: The Right Girls, Ms. White Light, The Good Catholic, Dry Blood, American Hasi, Analog Love, Back to Lyla",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Past Clients: NBC, VICE, Disney, Dell, Ubisoft, BBC, TLC, iTV, Discovery, PepsiCo, PBS, Nestle, Legendary Digital Networks, Shed Media, Acxiom, back2back Productions, Electronic Arts, Honey Bee, WildBear Entertainment, Nerdist, Warner Brothers Interactive Entertainment, Pigasus Pictures, Reelz, Original Productions, PainlessTV, OWN, Envy Gaming.",graham-sheldon,http://grahamsheldon.net,NULL,NULL,NULL,NULL,NULL,images/educators/graham-sheldon-photo.jpg,1,10/13/21 4:36,7/31/23 2:04,NULL,,,,
32,Tito Ferradans,Filmmaker,"Hailing from Brazil, Tito Ferradans spent the last ten years pursuing the dream of making films. Tito is a tech guy, passionate for sci-fi narratives and with a sharp eye for the visual aspects of a story, from cinematography to post-production and visual effects. He also has a YouTube channel about anamorphic lenses, which has been his study subject since 2012 and very likely the reason you're here!","Hailing from Brazil, Tito Ferradans spent the last ten years pursuing the dream of making films. Tito is a tech guy, passionate for sci-fi narratives and with a sharp eye for the visual aspects of a story, from cinematography to post-production and visual effects. He also has a YouTube channel about anamorphic lenses, which has been his study subject since 2012 and very likely the reason you're here!",tito-ferradans,http://www.tferradans.com/,NULL,NULL,http://www.instagram.com/anamorphiconabudget,http://www.youtube.com/anamorphiconabudget,NULL,images/educators/tito-ferradans-m.jpg,1,2/26/22 4:49,2/26/22 4:53,NULL
33,Digby Hogan,"Senior Editor, Co-founder of The Empire Post","Meet your instructor Digby Hogan, Co-Founder and Senior Editor of The Empire Post. With an incredibly strong work ethic and a love for all things film making, Digby has been working in Film & TV since his late teens.","Meet your instructor Digby Hogan, Co-Founder and Senior Editor of The Empire Post. With an incredibly strong work ethic and a love for all things film making, Digby has been working in Film & TV since his late teens.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵At 21 years of age he started his first full time position as an Offline Editor at Cutting Edge Brisbane and since then has developed his skills as a Senior Editor and Motion Graphics Artist. In 2013 Digby established himself as a highly regarded freelance editor, traveling across Australia and internationally editing all type of projects. From TVCs, to Feature Films and documentaries, Digby has experience across multiple platforms and multiple softwares.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵In 2014 Digby and Co-Founder Nicole Manns created The Empire Post, a boutique post facility based around a collective of young creatives. Growing from strength to strength, the natural progression was to add an online learning platform to their offering. Built to empower and upskill other creatives and businesses alike to tell their story! Cue Empire Online.",digby-hogan,https://www.theempirepost.com/,NULL,NULL,NULL,NULL,NULL,images/educators/digby-hogan.jpg,1,5/11/22 22:51,5/11/22 22:51,NULL,,,,
34,Dave Maze,"Filmmaker, Youtuber, Podcaster","Dave is a full-time YouTube creator in the camera and filmmaking niche. He was the host and creative director at Indy Mogul, a filmmaking and gear review channel with over 1.3 million subscribers. Dave also started the Kinotika YouTube channel and brought it to over 78,000 subscribers with over 10 million views. With a heavy emphasis on making the videos entertaining; the reviews, tutorials, and vlogs all showcase the charisma and comedy side of Dave’s personality all while educating the audience.","Dave is a full-time YouTube creator in the camera and filmmaking niche. He was the host and creative director at Indy Mogul, a filmmaking and gear review channel with over 1.3 million subscribers. Dave also started the Kinotika YouTube channel and brought it to over 78,000 subscribers with over 10 million views. With a heavy emphasis on making the videos entertaining; the reviews, tutorials, and vlogs all showcase the charisma and comedy side of Dave’s personality all while educating the audience.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Dave also hosts the Golden Hour Podcast in partnership with PolarPro. A weekly guest-based podcast featuring creatives from all over the world. Consistently posting shows every week since Feb. 2019. The guests have ranged from top-tier YouTubers, filmmakers, photographers, and any other creatives who have built successful businesses.",dave-maze,https://davemaze.com/,https://twitter.com/davemaze,NULL,https://www.instagram.com/davemaze_/,https://www.youtube.com/c/DaveMaze1,NULL,images/educators/davemaze.jpg,1,7/18/22 1:42,7/18/22 1:42,NULL,,,,
35,Russ Malkin,"Producer, Director","Producer/director and all-round entrepreneur Russ Malkin is the founder and owner of Big Earth Productions and Big Earth Digital. He has created content for many broadcasters globally including BBC, ITV, Sky, National Geographic, Apple, Amazon and Discovery. Often working with high-profile personalities, Russ has filmed across all seven continents in some of the harshest conditions on the planet.","Producer/director and all-round entrepreneur Russ Malkin is the founder and owner of Big Earth Productions and Big Earth Digital. He has created content for many broadcasters globally including BBC, ITV, Sky, National Geographic, Apple, Amazon and Discovery. Often working with high-profile personalities, Russ has filmed across all seven continents in some of the harshest conditions on the planet. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Malkin’s pioneering spirit has been a staple of his work since the very beginning. When someone says, “It can’t be done!” Russ will set out to prove them wrong; an attitude which has earned him several World Records and a reputation for thriving when faced with the impossible.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Russ’ sprawling career is characterised by curiosity, an unquenchable thirst for a challenge, and a desire to do exciting things with interesting people.",russ-malkin,https://www.bigearthtv.co.uk,NULL,NULL,NULL,NULL,NULL,images/educators/russ-malkin-bio.jpg,1,9/1/22 0:15,9/1/22 0:15,NULL,,,,
36,Lesley Powers,"Filmmaker, Designer","Lesley Powers is a narrative filmmaker based in Los Angeles. She has produced and directed several films, and recently graduated from Sundance's Directing Actors Co//lab. Lesley is also a guru in designing pitch decks for creative projects.","Lesley Powers is a narrative director and pitch deck designer based in Los Angeles. As a content creator herself, she knows how to take another creator's vision and put pen to paper or mouse to Photoshop. Pitch decks are a niche that Powers describes as a digital vision board. The collaboration between graphic designer and creator is so important. Entrusting someone to give life to your story is no small feat, and one Powers takes very seriously. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵In the world of directing - she’s currently directing the brand new web series - This is a Lot. Guest stars include John Michael Higgins, Jane Kaczmarek, and Dot-Marie Jones. She collaborates with the show’s creator (and childhood friend) to bring a fresh perspective to the “joys” of motherhood. A mother herself to a toddler, Powers understands ways to find comedy in the chaos.She recently completed Sundance’s Co//ab for Directing Actors. An invaluable experience! Her latest short film, Don’t Tell Mom, was a Top 10 Jury Picked finalist in the SheDirected competition (helmed by Kate Bosworth). Powers, a former panel coordinator for the Bentonville Film Festival is a big believer in the festivals' mission of diversity and inclusion. She had a 98% female crew on her 2018 short film, Make Yourself at Home. Her first short film, Mr. Johnson's Julius Caesar, made her a Nashville Film Festival 2015 Horizon Award nominee and sparked her directing journey.  ",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Powers is a graduate of Indiana University and paid homage to her hometown of Indianapolis by naming her production company, Naptown Entertainment. She ​resides in Los Angeles with her husband and son, loves funfetti cupcakes and watching Sex and the City re-runs.",lesley-powers,https://www.lesleypowers.com/,NULL,https://www.facebook.com/lesley.powers15,https://www.instagram.com/lmpowers15/,NULL,NULL,images/educators/lesley-powers-bio.jpg,1,11/9/22 3:35,11/9/22 3:35,NULL,,,,
37,International Film Institute of NY,Film School Preparatory Program,"With over 24 years of successfully providing a window into the world of filmmaking, the International Film Institute of New York continues to inspire and support individuals on their journey toward either a higher education in film or a foundation to building a career in the industry in a conservatory setting focused on storytelling.","With over 24 years of successfully providing a window into the world of filmmaking, the International Film Institute of New York continues to inspire and support individuals on their journey toward either a higher education in film or a foundation to building a career in the industry in a conservatory setting focused on storytelling.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵The International Film Institute was created to provide intensive, comprehensive, and quality training in the art and craft of cinematic story telling including, but not limited to, screenwriting, directing, production, and editing lead to the creation of a short film by each student.  In addition to learning the technical disciplines and aesthetic principles of filmmaking, students also watch and discuss classic films being given, thereby, a sense of the historical and culture context of motion pictures in our society. Filmmaking – narrative, documentary, or experimental – is a collaborative endeavor and developing that skill, which will serve them well in the industry and beyond, will be an essential component of their experience at IFI.",international-film-institute-new-york,https://nyfilmschool.com/,NULL,https://www.facebook.com/nyfilmschool/,https://www.instagram.com/nyfilmschool/,NULL,NULL,images/educators/f2444fccddf0a20ed402aadd7d8f01e1_optimized.jpg,1,11/11/22 3:38,4/3/25 4:32,NULL,,,,
38,"Paul Atkins, ASC & Stephen Lighthill, ASC",Cinematographers,"Paul Atkins and Stephen Lighthill, both ASC members, are distinguished cinematographers recognized for their contributions to documentary and feature filmmaking, with Atkins known for his environmental narratives and Lighthill for his mentorship and influence in the industry.","Paul Atkins and Stephen Lighthill, both ASC members, are distinguished cinematographers recognized for their contributions to documentary and feature filmmaking, with Atkins known for his environmental narratives and Lighthill for his mentorship and influence in the industry.",paul-atkins-asc-stephen-lighthill-asc,NULL,NULL,NULL,NULL,NULL,NULL,images/educators/5f091fb0c13cc500ea352f9ad2d25ddb_optimized.jpg,1,11/17/22 22:00,4/4/24 3:44,NULL
39,Drew Geraci,"Photographer, Filmmaker","Drew has an affinity for creating brilliantly colored and high impact HDR motion time-lapse productions. His notoriety rose when he landed a job working with David Fincher to create the now iconic House of Cards opening credits. His work has also appeared in shows/advertisements produced by the NFL, HBO, Redbull, Sony, Apple, Nike, Discovery Channel, Cartier and more.","Andrew 'Drew' Geraci is a passionate and award winning photographer/cinematographer who has been in the media industry for over 15 years. At 17, he enlisted in the United States Navy and served as a Mass Communication specialist. During his time in the Navy, he was deployed to aircraft carriers, exotic overseas locations, and traveled the globe documenting military activities. After nearly a decade of service he hung up his uniform and signed on a as Senior Multimedia Producer for the Washington Times in Washington, DC. His role as a visual story-teller and leader would eventually lead him to create his own business which he currently operates and owns - District 7 Media.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Drew has an affinity for creating brilliantly colored and high impact HDR motion time-lapse productions. His notoriety rose when he landed a job working with David Fincher to create the now iconic House of Cards opening credits. His work has also appeared in shows/advertisements produced by the NFL, HBO, Redbull, Sony, Apple, Nike, Discovery Channel, Cartier and more.",drew-geraci,http://district7.com/,https://twitter.com/drew_geraci,https://www.facebook.com/dgeraci2,https://www.instagram.com/drewgiggity,NULL,NULL,images/educators/drew-geraci-mzed-educator.jpg,1,11/24/22 22:51,11/24/22 22:51,NULL,,,,
40,America Young,"Stunt Coordinator, Director","America Young works as a Director, Stunt Coordinator, and Stunt Woman in Film, Animation, TV, and Video Games.",America Young was awarded the 2020 Humanitarian award by UCSD for her work promoting women in the film industry.,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵America Young is currently working in Film, TV, Animation and Video Games, as a Director, stunt coordinator and stunt woman.  To date, she has directed for Network TV, two features, a season of an animated show, a video game and four digital series to name a few.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵She has stunt coordinated on projects for Warner Bros, Netflix, Lifetime and Cannal Plus.  And worked on 65 video games.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Having stunt coordinated for years, America transitioned to directing seven years ago. While having a solid foundation in action, she is also known for her ability to bring out the best performances in actors, both drama and comedy, while translating subtle and rich story points visually on screen.  The projects she has helmed have a wide range from a drag queen comedy to sci-fi action to fantasy action to coming of age drama to exploring domestic violence in a superhero universe.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Her first feature, “The Concessionaires Must Die!!” executive produced by Stan Lee, (www.cmdthemovie.com) is now available on Itunes, Amazon and other VOD platforms. Her most recent digital series, “Whatta Lark”, that pairs a quiet, introverted woman with the fiercest and loveliest of Drag Queens can be watched on Amazon. “Protectress”, a Xena-inspired fantasy, winner of several awards including Best Action, Best Director and Best Fantasy on the festival circuit, is being developed into a feature.   And she is attached to, a heartfelt, brilliantly subtle drama, “It’s Not Me” written by John Keating.  She was also directed the vertical slice for Resident Evil Village, the most successful game for the franchise yet.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵America was pivotal in the rebranding of Barbie with the Barbie Vlog in 2015 and directed the critically acclaimed season of the Barbie motion capture animated series for Mattel which was featured on VICE, Vogue, Glamour and Newsweek among other publications.  It has been viewed on youtube over 150 million times and went from 500k subscribers to nearly 11 million in the time she has been working on the Brand.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Her second feature, “Back to Lyla” which is Alice in Wonderland meets Eternal Sunshine of the Spotless Mind inspired, and will be released later this year.  Upon completion of the Warner Bros directing program, she successfully entered the TV world, directing an episode of Blindspot (aired May, 2020) and Legacies (aired 1/23/20) with glowing feedback from both teams.  She has now also directed episodes for Roswell and Kung fu.  And at the end of 2021 she directed the pilot of Surfside Girls for Apple TV which got a full season order and will release in 2022.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵She is a proud founder of The Chimaera Project, a nonprofit that gives opportunities to women in the film & media arts (www.chimaeraproject.org).",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵When America’s not kicking the crap out of Super-Heroes that support the Superhuman Registration Act, jumping off buildings, teaching actors how to fight or setting herself on fire, she enjoys telling stories, sipping herbal tea and sharpening her pair of Sai.",america-young,https://americayoung.com/,NULL,NULL,NULL,NULL,NULL,images/educators/america-young-educator.png,1,8/1/23 0:29,8/1/23 2:48,NULL,,,,
41,Latasha James,"Filmmaker, Podcaster","Latasha James is an entrepreneur, marketing wizard, and host of the ""Freelance Friday Podcast.""","Latasha James is the Founder and Creative Director of James + Park, a social-first video marketing firm serving clients across the globe, as well as the Online Business Launch Lab, an education platform for freelancers and creative entrepreneurs. Through her courses, YouTube, and podcast content, Latasha has encouraged thousands of people to start and grow their businesses, both online and off.",latasha-james,NULL,NULL,NULL,NULL,NULL,NULL,images/educators/latasha-james.jpg,1,10/20/23 1:44,10/20/23 1:48,NULL
43,Tal Lazar,"Cinematographer, Producer, Educator","Tal Lazar is a cinematographer and educator whose courses are taught at leading film schools such as Columbia University, the American Film Institute and Sundance Institute.","Tal Lazar is a Cinematographer, Producer and Educator. Tal has worked on numerous international box office successes, with Vietnam at the forefront. Domestically, Lazar’s projects have found homes in theatrical as well as online distribution. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵In 2011 Tal became a faculty member at the American Film Institute Conservatory where he served as a senior lecturer for 7 years. During this time he created Berklee College of Music’s online Digital Cinematography course which now runs for 10 years. He is currently a faculty member at Columbia University School of the Arts and the City College of New York, and most recently joined Sundance Institute's Collab platform teaching cinematography to Sundance fellows. ",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Tal moved from Tel Aviv, Israel in 2007 to pursue an MFA in Cinematography at the American Film Institute Conservatory in Hollywood. Tal earned his BFA in Film & Television studies at Tel Aviv University, where he won the Sharet Foundation Award for Best Cinematography. He completed his military service at the IDF with a sign of excellence in service bestowed on him by Israeli president Ezer Weizman in 2000.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Tal is a partner & CEO of New York based production company MiLa Media and heads Quonder, a next generation online learning platform.",tal-lazar,https://latentimages.com/,NULL,NULL,https://www.instagram.com/talazar/,NULL,NULL,images/educators/0faeb62e741bf53f3c77b7ed9f2b0593_optimized.jpg,1,12/20/23 2:31,12/20/23 2:31,NULL,,,,
44,Doug Jensen,"Cinematographer, Producer, Director, Editor, and Consultant","With over 35 years of video production and post-production experience, Doug combines his extensive professional experience with his teaching skills to bring a wide-ranging, real-world perspective to his independent training videos, books, and live classroom workshops.","Doug Jensen describes himself as someone who “lives and breathes” video production and digital photography.  As an HD cinematographer, producer, director, editor, and consultant, Doug enjoys being involved in all facets of production.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵With over 35 years of video production and post-production experience, Doug combines his extensive professional experience with his teaching skills to bring a wide-ranging, real-world perspective to his independent training videos, books, and live classroom workshops.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵During his career, Doug has worked in many areas of the television and video production industry, including:  freelance ENG/EFP owner-operator; cameraman for live sporting events and concerts; news photographer; director of photography for documentaries; and a corporate video writer/director/producer who specializes in training and promotional videos.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵As one of only a dozen members of Sony's Independent Certified Experts (I.C.E.) team, he frequently teaches HD workshops around the United States and in other countries, including Japan, where he has been sent by Sony to consult with their XDCAM product development engineers. Doug has taught camcorder workshops for Sony at every NAB convention since 2006.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵In addition to his hands-on experience in the production side of the business, Doug is also the founder of Vortex Media, which produces in-depth instructional videos, high-definition camcorder field guide books, and innovative production tools, including: the well-known WarmCards White Balance Reference System, and Storm Jacket Camera Covers.",doug-jensen,https://www.vortexmediastore.com/,NULL,NULL,NULL,NULL,NULL,images/educators/56551ac5c3b9ade648607326264b1a71_optimized.jpg,1,9/3/24 2:53,9/3/24 2:54,NULL,,,,